season,week,game_id,home_team,away_team,home_points,away_points,home_win
2025,2,2025-W02-GB-WAS,GB,WAS,27,18,1
2025,2,2025-W02-BAL-CLE,BAL,CLE,41,17,1
2025,2,2025-W02-CIN-JAX,CIN,JAX,31,27,1
2025,2,2025-W02-DAL-NYG,DAL,NYG,40,37,1
2025,2,2025-W02-DET-CHI,DET,CHI,52,21,1
2025,2,2025-W02-MIA-NE,MIA,NE,27,33,0
2025,2,2025-W02-NO-SF,NO,SF,21,26,0
2025,2,2025-W02-NYJ-BUF,NYJ,BUF,10,30,0
2025,2,2025-W02-PIT-SEA,PIT,SEA,17,31,0
2025,2,2025-W02-TEN-LA,TEN,LA,19,33,0
2025,2,2025-W02-ARI-CAR,ARI,CAR,27,22,1
2025,2,2025-W02-IND-DEN,IND,DEN,29,28,1
2025,2,2025-W02-KC-PHI,KC,PHI,17,20,0
2025,2,2025-W02-MIN-ATL,MIN,ATL,6,22,0
2025,2,2025-W02-HOU-TB,HOU,TB,19,20,0
2025,2,2025-W02-LV-LAC,LV,LAC,9,20,0
