season,week,game_id,home_team,away_team,qb_ypa_home,qb_ypa_away,net_yds_home,net_yds_away,pred_logistic,pred_tree,pred_bt,pred_ann
2025,2,2025-W02-GB-WAS,GB,WAS,8.982405,6.264286,,,0.994,0.714,0.04,0.501
2025,2,2025-W02-BAL-CLE,BAL,CLE,9.37931,5.493056,,,0.721,0.714,1,0.501
2025,2,2025-W02-CIN-JAX,CIN,JAX,5.978744,6.097158,,,0.409,0.714,1,0.5
2025,2,2025-W02-DAL-NYG,DAL,NYG,6.23586,7.758075,,,0.868,0.714,0,0.501
2025,2,2025-W02-DET-CHI,DET,CHI,8.848901,6.545455,,,0.6,0.714,0,0.501
2025,2,2025-W02-MIA-NE,MIA,NE,7.276714,8.119565,,,0.002,0.316,0,0.501
2025,2,2025-W02-NO-SF,NO,SF,5.370205,7.534066,,,0.002,0.316,1,0.501
2025,2,2025-W02-NYJ-BUF,NYJ,BUF,6.840909,7.615942,,,0.01,0.316,0.166,0.501
2025,2,2025-W02-PIT-SEA,PIT,SEA,7.138095,7.730567,,,0.097,0.714,0.961,0.501
2025,2,2025-W02-TEN-LA,TEN,LA,4.651515,8.739289,,,0.01,0.316,0,0.501
2025,2,2025-W02-ARI-CAR,ARI,CAR,7.210345,5.181818,,,0.965,0.714,1,0.501
2025,2,2025-W02-IND-DEN,IND,DEN,9.336714,5.633333,,,0.997,0.714,1,0.5
2025,2,2025-W02-KC-PHI,KC,PHI,6.53183,5.599802,,,0.004,0.316,0.705,0.501
2025,2,2025-W02-MIN-ATL,MIN,ATL,7.336905,6.761905,,,0.028,0.714,0,0.501
2025,2,2025-W02-HOU-TB,HOU,TB,7.793981,5.438322,,,0.076,0.316,0,0.501
2025,2,2025-W02-LV-LAC,LV,LAC,7.416553,9.157952,,,0.059,0.714,0,0.501
