season,week,game_id,home_team,away_team,qb_ypa_home,qb_ypa_away,net_yds_home,net_yds_away,pred_logistic,pred_tree,pred_bt,pred_ann
2025,5,2025-W05-LA-SF,LA,SF,7.729214,7.346,,,0.986,0.462,0.006,0.503
2025,5,2025-W05-CLE-MIN,CLE,MIN,4.986388,7.894168,,,0.37,0.462,0.292,0.503
2025,5,2025-W05-BAL-HOU,BAL,HOU,8.422006,7.434251,,,0.039,0.4,0.968,0.503
2025,5,2025-W05-CAR-MIA,CAR,MIA,5.806481,6.161743,,,0.987,0.462,0,0.503
2025,5,2025-W05-IND-LV,IND,LV,7.988548,7.290093,,,1,0.878,0.914,0.503
2025,5,2025-W05-NO-NYG,NO,NYG,5.896014,5.238889,,,0.808,0.878,0.029,0.503
2025,5,2025-W05-NYJ-DAL,NYJ,DAL,6.664922,7.545434,,,0.661,0.222,0.901,0.503
2025,5,2025-W05-PHI-DEN,PHI,DEN,6.615863,6.695678,,,0.87,0.878,1,0.503
2025,5,2025-W05-ARI-TEN,ARI,TEN,5.431969,5.570625,,,0.776,0.878,1,0.503
2025,5,2025-W05-SEA-TB,SEA,TB,10.144114,8.914777,,,0.993,0.462,0.751,0.503
2025,5,2025-W05-CIN-DET,CIN,DET,5.486728,8.103836,,,0.01,0.462,0.111,0.503
2025,5,2025-W05-LAC-WAS,LAC,WAS,5.899278,8.173179,,,0.771,0.462,0.017,0.503
2025,5,2025-W05-BUF-NE,BUF,NE,8.422811,9.207007,,,0.99,0.878,0.866,0.503
2025,5,2025-W05-JAX-KC,JAX,KC,6.667634,7.035816,,,0.993,0.462,0.036,0.503
