season,week,game_id,home_team,away_team,qb_ypa_home,qb_ypa_away,net_yds_home,net_yds_away,pred_logistic,pred_tree,pred_bt,pred_ann
2025,6,2025-W06-NYG-PHI,NYG,PHI,5.238889,6.615863,,,0.046,0.333,0.004,0.502
2025,6,2025-W06-NYJ-DEN,NYJ,DEN,6.664922,6.695678,,,0.071,0.214,0.085,0.502
2025,6,2025-W06-BAL-LA,BAL,LA,8.422006,7.729214,,,0.005,0.333,0.004,0.502
2025,6,2025-W06-CAR-DAL,CAR,DAL,5.806481,7.545434,,,0.299,0.538,0.023,0.502
2025,6,2025-W06-IND-ARI,IND,ARI,7.988548,5.431969,,,0.769,0.837,0.996,0.502
2025,6,2025-W06-JAX-SEA,JAX,SEA,5.871761,10.144114,,,0.529,0.837,0.146,0.502
2025,6,2025-W06-MIA-LAC,MIA,LAC,6.161743,5.899278,,,0.12,0.837,0.994,0.502
2025,6,2025-W06-NO-NE,NO,NE,5.896014,9.207007,,,0.374,0.837,0.556,0.502
2025,6,2025-W06-PIT-CLE,PIT,CLE,7.092415,4.986388,,,0.877,0.214,0.782,0.502
2025,6,2025-W06-LV-TEN,LV,TEN,7.290093,5.570625,,,0.014,0.333,0,0.502
2025,6,2025-W06-GB-CIN,GB,CIN,8.192188,5.486728,,,0.988,0.214,0.985,0.503
2025,6,2025-W06-TB-SF,TB,SF,8.914777,7.346,,,0.462,0.837,0.961,0.502
2025,6,2025-W06-KC-DET,KC,DET,6.599876,8.103836,,,0.576,0.837,0.196,0.502
2025,6,2025-W06-ATL-BUF,ATL,BUF,7.713817,8.422811,,,0.888,0.214,0.219,0.503
2025,6,2025-W06-WAS-CHI,WAS,CHI,8.173179,7.821165,,,0.099,0.837,0.838,0.502
