season,week,game_id,home_team,away_team,home_points,away_points,home_win
2025,1,2025-W01-PHI-DAL,PHI,DAL,24,20,1
2025,1,2025-W01-LAC-KC,LAC,KC,27,21,1
2025,1,2025-W01-ATL-TB,ATL,TB,20,23,0
2025,1,2025-W01-CLE-CIN,CLE,CIN,16,17,0
2025,1,2025-W01-IND-MIA,IND,MIA,33,8,1
2025,1,2025-W01-JAX-CAR,JAX,CAR,26,10,1
2025,1,2025-W01-NE-LV,NE,LV,13,20,0
2025,1,2025-W01-NO-ARI,NO,ARI,13,20,0
2025,1,2025-W01-NYJ-PIT,NYJ,PIT,32,34,0
2025,1,2025-W01-WAS-NYG,WAS,NYG,21,6,1
2025,1,2025-W01-DEN-TEN,DEN,TEN,20,12,1
2025,1,2025-W01-SEA-SF,SEA,SF,13,17,0
2025,1,2025-W01-GB-DET,GB,DET,27,13,1
2025,1,2025-W01-LA-HOU,LA,HOU,14,9,1
2025,1,2025-W01-BUF-BAL,BUF,BAL,41,40,1
2025,1,2025-W01-CHI-MIN,CHI,MIN,24,27,0
